
"WF01BEW - Location of usual residence and place of work (OA level)"
"ONS Crown Copyright Reserved [from Nomis on 8 December 2020]"
"Population :","All usual residents ages 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"currently residing in : 2011 super output area - lower layer","E01014601 : Bristol 001A","E01014602 : Bristol 001B","E01014603 : Bristol 001C","E01014605 : Bristol 001E","E01032516 : Bristol 001G","E01032517 : Bristol 001H","E01014688 : Bristol 002A","E01014689 : Bristol 002B","E01014690 : Bristol 002C","E01014691 : Bristol 002D","E01014692 : Bristol 002E","E01014693 : Bristol 002F","E01014694 : Bristol 002G","E01014497 : Bristol 003A","E01014498 : Bristol 003B","E01014638 : Bristol 003C","E01014639 : Bristol 003D","E01014640 : Bristol 003E","E01014631 : Bristol 004A","E01014632 : Bristol 004B","E01014633 : Bristol 004C","E01014636 : Bristol 004D","E01014630 : Bristol 005A","E01014634 : Bristol 005B","E01014659 : Bristol 005C","E01014661 : Bristol 005D","E01014616 : Bristol 006A","E01014719 : Bristol 006B","E01014720 : Bristol 006C","E01014721 : Bristol 006D","E01014641 : Bristol 007A","E01014642 : Bristol 007B","E01014643 : Bristol 007C","E01014644 : Bristol 007D","E01014492 : Bristol 008A","E01014493 : Bristol 008B","E01014494 : Bristol 008C","E01014495 : Bristol 008D","E01014496 : Bristol 008E","E01014499 : Bristol 008F","E01014715 : Bristol 009A","E01014716 : Bristol 009B","E01014717 : Bristol 009C","E01014718 : Bristol 009D","E01014510 : Bristol 010A","E01014635 : Bristol 010B","E01014637 : Bristol 010C","E01014662 : Bristol 010D","E01014615 : Bristol 011A","E01014617 : Bristol 011B","E01014618 : Bristol 011C","E01014620 : Bristol 011D","E01014571 : Bristol 012A","E01014577 : Bristol 012B","E01014586 : Bristol 012C","E01014587 : Bristol 012D","E01014588 : Bristol 013A","E01014589 : Bristol 013B","E01014590 : Bristol 013C","E01014591 : Bristol 013D","E01014592 : Bristol 013E","E01014660 : Bristol 014A","E01014663 : Bristol 014B","E01014664 : Bristol 014C","E01014665 : Bristol 014D","E01014709 : Bristol 015A","E01014710 : Bristol 015B","E01014711 : Bristol 015C","E01014712 : Bristol 015D","E01014713 : Bristol 015E","E01014714 : Bristol 015F","E01014507 : Bristol 016A","E01014508 : Bristol 016B","E01014509 : Bristol 016C","E01014511 : Bristol 016D","E01014512 : Bristol 016E","E01014513 : Bristol 016F","E01014514 : Bristol 016G","E01014619 : Bristol 017A","E01014621 : Bristol 017B","E01014666 : Bristol 017C","E01014667 : Bristol 017D","E01014672 : Bristol 017E","E01014624 : Bristol 018A","E01014629 : Bristol 018D","E01032518 : Bristol 018E","E01032519 : Bristol 018F","E01014572 : Bristol 019A","E01014573 : Bristol 019B","E01014575 : Bristol 019C","E01014576 : Bristol 019D","E01014487 : Bristol 020A","E01014491 : Bristol 020B","E01014668 : Bristol 020C","E01014669 : Bristol 020D","E01014670 : Bristol 020E","E01014671 : Bristol 020F","E01014622 : Bristol 021A","E01014623 : Bristol 021B","E01014626 : Bristol 021C","E01014627 : Bristol 021D","E01014557 : Bristol 022A","E01014558 : Bristol 022B","E01014559 : Bristol 022C","E01014560 : Bristol 022D","E01014562 : Bristol 022E","E01014485 : Bristol 023A","E01014486 : Bristol 023B","E01014488 : Bristol 023C","E01014489 : Bristol 023D","E01033347 : Bristol 023F","E01033348 : Bristol 023G","E01033366 : Bristol 023H","E01014539 : Bristol 025A","E01014561 : Bristol 025C","E01014563 : Bristol 025D","E01033342 : Bristol 025E","E01033367 : Bristol 025F","E01014551 : Bristol 026A","E01014552 : Bristol 026B","E01014553 : Bristol 026C","E01014554 : Bristol 026D","E01014556 : Bristol 026E","E01014673 : Bristol 027A","E01014674 : Bristol 027B","E01014675 : Bristol 027C","E01014676 : Bristol 027D","E01014682 : Bristol 028A","E01014683 : Bristol 028B","E01014685 : Bristol 028C","E01014686 : Bristol 028D","E01014687 : Bristol 028E","E01014565 : Bristol 029A","E01014566 : Bristol 029B","E01014567 : Bristol 029C","E01014681 : Bristol 029D","E01014684 : Bristol 029E","E01014544 : Bristol 030A","E01014545 : Bristol 030B","E01014546 : Bristol 030C","E01014547 : Bristol 030D","E01014538 : Bristol 032A","E01014540 : Bristol 032B","E01014542 : Bristol 032C","E01033344 : Bristol 032E","E01033345 : Bristol 032F","E01033350 : Bristol 032G","E01014677 : Bristol 033A","E01014678 : Bristol 033B","E01014679 : Bristol 033C","E01014680 : Bristol 033D","E01014548 : Bristol 034A","E01014549 : Bristol 034B","E01014550 : Bristol 034C","E01014555 : Bristol 034D","E01014528 : Bristol 035A","E01014529 : Bristol 035B","E01014530 : Bristol 035C","E01014531 : Bristol 035D","E01014532 : Bristol 035E","E01014537 : Bristol 035F","E01014695 : Bristol 036A","E01014696 : Bristol 036B","E01014698 : Bristol 036C","E01014699 : Bristol 036D","E01014700 : Bristol 036E","E01014701 : Bristol 036F","E01014730 : Bristol 037A","E01014731 : Bristol 037B","E01014732 : Bristol 037C","E01014735 : Bristol 037D","E01014523 : Bristol 038A","E01014524 : Bristol 038B","E01014525 : Bristol 038C","E01014526 : Bristol 038D","E01014527 : Bristol 038E","E01014500 : Bristol 039A","E01014502 : Bristol 039B","E01033359 : Bristol 039E","E01033361 : Bristol 039F","E01033362 : Bristol 039G","E01033364 : Bristol 039H","E01014729 : Bristol 040A","E01014733 : Bristol 040B","E01014734 : Bristol 040C","E01014736 : Bristol 040D","E01014501 : Bristol 041A","E01014504 : Bristol 041B","E01014505 : Bristol 041C","E01014506 : Bristol 041D","E01014645 : Bristol 042A","E01014646 : Bristol 042B","E01014648 : Bristol 042C","E01014649 : Bristol 042D","E01014651 : Bristol 042E","E01014533 : Bristol 043A","E01014534 : Bristol 043B","E01014535 : Bristol 043C","E01014536 : Bristol 043D","E01014578 : Bristol 044A","E01014583 : Bristol 044B","E01014585 : Bristol 044C","E01014647 : Bristol 044D","E01014650 : Bristol 044E","E01014579 : Bristol 045A","E01014580 : Bristol 045B","E01014581 : Bristol 045C","E01014582 : Bristol 045D","E01014584 : Bristol 045E","E01014518 : Bristol 046A","E01014519 : Bristol 046B","E01014520 : Bristol 046C","E01014521 : Bristol 046D","E01014607 : Bristol 047A","E01014608 : Bristol 047B","E01014609 : Bristol 047C","E01014610 : Bristol 047D","E01014613 : Bristol 047E","E01014614 : Bristol 047F","E01014594 : Bristol 048A","E01014598 : Bristol 048B","E01014599 : Bristol 048C","E01014600 : Bristol 048D","E01014702 : Bristol 049A","E01014703 : Bristol 049B","E01014704 : Bristol 049C","E01014705 : Bristol 049D","E01014706 : Bristol 049E","E01014707 : Bristol 049F","E01014708 : Bristol 049G","E01014515 : Bristol 050A","E01014516 : Bristol 050B","E01014517 : Bristol 050C","E01014522 : Bristol 050D","E01014593 : Bristol 051A","E01014595 : Bristol 051B","E01014596 : Bristol 051C","E01014597 : Bristol 051D","E01014611 : Bristol 052A","E01014612 : Bristol 052B","E01014722 : Bristol 052C","E01014723 : Bristol 052D","E01014725 : Bristol 052E","E01014726 : Bristol 053B","E01014727 : Bristol 053C","E01032514 : Bristol 053E","E01032515 : Bristol 053F","E01033352 : Bristol 054A","E01033353 : Bristol 054B","E01033355 : Bristol 054C","E01033358 : Bristol 054D","E01033370 : Bristol 054E","E01014564 : Bristol 055A","E01014653 : Bristol 055B","E01014655 : Bristol 055C","E01014654 : Bristol 056A","E01014658 : Bristol 056B","E01033356 : Bristol 056C","E01033369 : Bristol 056D","E01014568 : Bristol 057A","E01014569 : Bristol 057B","E01014570 : Bristol 057C","E01014574 : Bristol 057D"

"E01014601 : Bristol 001A",15,2,1,13,2,2,0,7,0,7,3,1,2,3,12,2,0,4,25,0,10,0,2,0,0,1,2,10,8,3,0,0,0,0,0,2,0,0,20,7,2,1,8,0,0,0,3,1,2,1,1,1,0,3,1,0,2,0,0,1,0,1,0,1,3,0,2,1,1,0,2,0,5,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,1,3,0,2,0,0,1,8,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,12,12,6,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,1,5,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,1,1,12,13,1,1,4,2,0,1,2,0,1,0,0,0,0
"E01014602 : Bristol 001B",11,19,0,24,10,7,1,4,0,3,0,1,5,2,20,3,1,3,11,2,8,1,0,0,0,0,5,11,3,3,0,0,0,0,0,0,0,0,31,11,2,1,10,1,1,1,1,0,7,1,2,2,0,0,0,0,3,1,0,0,0,0,0,2,4,0,0,0,1,2,2,0,0,2,0,1,0,2,5,0,0,0,2,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,1,0,0,2,7,0,1,0,0,1,7,0,2,2,1,4,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,4,17,12,2,10,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,5,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,11,6,2,0,2,1,0,3,1,0,0,0,0,0,0
"E01014603 : Bristol 001C",13,3,13,8,5,3,2,4,1,12,0,2,7,4,27,0,0,1,34,6,7,0,1,0,0,1,6,16,2,9,0,2,0,0,0,3,1,0,18,5,3,0,15,1,0,0,1,1,2,0,1,2,0,1,0,0,4,0,2,1,1,1,0,2,6,0,2,3,2,2,4,2,6,0,0,2,1,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,10,1,0,0,1,2,0,2,8,2,0,1,1,2,12,2,3,1,4,4,2,0,0,1,0,0,0,0,0,0,0,0,3,3,0,4,3,11,0,9,23,23,11,18,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,1,0,0,1,0,0,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,18,17,6,2,1,4,0,0,6,0,0,0,0,0,0
"E01014605 : Bristol 001E",11,7,3,31,3,3,2,2,0,4,1,0,1,0,17,0,0,1,17,2,4,0,0,0,2,0,3,10,0,5,0,0,0,0,0,0,2,1,19,3,2,0,8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,2,0,0,1,0,0,5,2,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,3,1,0,1,1,0,0,0,4,1,0,0,0,0,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,13,14,1,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,2,0,0,0,0,0,7,1,0,0,1,1,0
"E01032516 : Bristol 001G",7,7,0,11,22,5,0,2,0,5,0,0,2,2,19,3,2,3,31,1,6,0,1,0,0,0,6,7,4,4,0,1,0,1,0,2,1,3,12,10,1,1,11,3,0,0,0,0,4,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,4,0,3,1,1,3,2,0,1,2,0,1,0,0,8,0,0,2,1,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,6,1,1,0,1,0,1,0,2,2,0,1,1,0,12,0,5,1,3,3,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,5,1,3,0,7,19,23,16,15,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,1,0,0,4,1,0,4,1,1,0,0,0,0,2,2,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,7,19,3,1,1,3,1,1,1,0,1,0,0,0,0
"E01032517 : Bristol 001H",13,7,0,11,11,12,1,8,0,3,3,0,2,0,17,1,0,0,14,1,6,0,1,0,0,1,5,4,1,5,0,1,0,0,0,0,0,1,13,3,1,0,8,3,0,0,1,1,2,0,1,1,0,0,0,0,4,1,0,1,0,1,0,0,2,0,2,0,2,5,1,1,5,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,2,0,0,0,0,0,1,2,0,0,0,0,0,6,1,4,2,1,2,2,0,0,1,0,0,0,0,0,0,2,1,0,3,0,6,2,1,0,10,15,23,6,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,11,6,0,1,0,1,1,0,0,0,0,3,1,0
"E01014688 : Bristol 002A",7,0,1,3,1,1,7,11,1,10,8,1,9,0,12,6,0,0,49,1,7,1,1,1,0,3,5,5,2,8,1,0,0,0,0,2,1,0,8,5,1,0,6,2,1,1,1,0,5,0,0,0,0,0,0,0,3,0,0,0,1,3,0,2,3,0,1,0,1,1,0,1,4,2,0,3,0,3,4,2,0,1,1,0,0,0,0,1,0,0,1,1,1,2,1,4,0,0,1,0,0,3,0,1,0,1,2,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,3,0,3,16,24,6,10,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,2,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,9,4,1,0,2,0,0,4,0,1,1,0,0,0
"E01014689 : Bristol 002B",1,0,8,4,0,1,2,14,3,6,4,2,15,0,3,0,0,0,28,1,5,2,1,0,0,0,3,5,1,3,0,0,0,0,0,1,0,0,8,1,1,1,11,0,0,2,1,0,1,0,2,1,0,0,0,2,3,0,0,0,0,3,1,3,5,0,1,0,0,1,1,1,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,10,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,3,0,0,6,10,2,10,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,7,0,1,1,0,1,1,0,2,0,0,0,0
